id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned
1,186,73,28,847,2000,422783777,644348,0,656,1994,886,17000,0.001575867,4
2,252,97,98,233,654,20433940,78883,8,662,2005,529,10000,0.000675371,2
3,232,117,234,221,12000,371897,36494,2,118,2013,1000,11000,0.003001651,2
4,297,109,98,145,957,13782838,258078,0,911,1982,163,23000,0.001725949,4
5,297,171,98,857,16000,313837577,1238746,2,5060,2001,5000,21000,0.001876032,4
6,186,116,98,471,11000,183405771,402645,4,845,2001,1000,10000,0.004427435,3
7,37,99,675,164,902,418953,17322,0,93,1993,424,853,0.000825454,2
8,82,170,165,244,453,72000000,66959,1,258,1964,272,10000,0.000300165,3
9,107,108,529,83,11000,8535575,24033,3,152,2005,329,10000,0.003827105,2
10,73,134,45,0,9,195888,5603,0,45,2005,2,607,0.000300165,3
11,125,95,163,650,14000,113006880,66308,0,225,2005,799,10000,0.002326279,2
12,175,110,2000,636,1000,260031035,141414,0,482,2000,722,10000,0.001951073,2
13,174,122,87,605,2000,22000,30511,4,226,2011,683,10000,0.001275702,2
14,29,107,8,268,926,12200000,7973,0,65,1983,400,10000,0.000525289,2
15,164,92,148,227,978,45802315,119974,1,169,2009,593,10000,0.000525289,2
16,20,139,133,5,423,2474000,2427,1,27,1995,15,127,0.000825454,2
17,20,193,160,860,8000,3275443,13998,2,264,2006,1000,659,0.000450248,2
18,261,133,98,301,26000,7097125,38983,1,207,2015,326,11000,0.001800991,2
19,190,90,108,270,1000,37470017,86890,0,985,2001,322,10000,0.000825454,2
20,75,98,61,83,649,32701088,10018,1,108,2005,579,10000,0.00060033,2
21,144,121,541,680,920,184031112,190786,4,539,1995,710,10000,0.002101156,2
22,358,98,118,558,14000,139852971,238671,0,461,2012,935,63000,0.002401321,2
23,219,117,163,260,719,118823091,98693,9,401,2007,339,10000,0.001500825,2
24,635,141,98,19000,26000,458991599,462669,4,1117,2015,21000,118000,0.00292661,3
25,31,77,3,593,787,7382993,3851,0,114,2006,690,346,0.00060033,0
26,60,107,71,304,967,80000000,51459,0,113,1984,455,10000,0.000825454,2
27,62,117,101,743,13000,24944213,63459,2,185,1996,852,3000,0.003601981,2
28,511,112,98,697,6000,137387272,300110,0,807,2013,960,131000,0.001650908,3
29,65,111,13,106,818,29106737,15582,0,132,1998,511,849,0.000900495,2
30,26,107,53,463,954,53481,5557,5,34,2006,551,294,0.00060033,2
31,219,112,380,2000,15000,32357532,143368,0,215,2010,11000,24000,0.003151733,2
32,38,104,122,458,22000,3386698,4195,1,86,1998,472,392,0.002326279,2
33,62,101,6,727,975,6643,11965,2,39,2012,947,10000,0.000825454,2
34,233,113,163,27,131,1185783,44763,0,172,2007,60,14000,0.000300165,3
35,168,122,487,16,12000,24127895,248123,2,437,2005,43,10000,0.002701486,3
36,123,118,101,327,13000,33828318,44453,2,154,2003,390,10000,0.003151733,2
37,93,98,4,83,3000,14252830,18900,0,242,2001,486,10000,0.001650908,2
38,168,134,38,2000,11000,19377727,35140,3,409,2005,8000,10000,0.002626445,2
39,131,91,98,332,795,1229197,382240,0,660,1975,561,14000,0.001575867,4
40,362,166,21000,919,11000,127490802,459346,2,822,2008,1000,23000,0.004052229,3
41,422,118,368,988,23000,125320003,286095,0,974,2009,3000,10000,0.00292661,2
42,43,78,7,142,308,191309,2787,1,64,2004,249,98,0.000450248,2
43,216,106,452,141,20000,15785632,32507,3,119,2016,732,15000,0.001650908,3
44,392,137,16000,363,29000,37304950,102728,0,279,2011,6000,16000,0.004802641,2
45,78,92,8,129,472,18843314,27486,1,284,2006,239,10000,0.000300165,1
46,315,194,98,794,29000,658672302,793059,0,2528,1997,14000,26000,0.003601981,3
47,97,95,189,306,500,56127162,57479,2,205,2003,308,10000,0.001575867,2
48,357,134,98,11000,15000,83025853,259837,0,2254,2005,13000,13000,0.003151733,3
49,161,81,10,397,925,135381507,63912,0,251,2005,729,912,0.001500825,2
50,120,127,36,399,562,12188642,21098,7,56,2015,499,10000,0.000525289,2
51,246,125,189,839,1000,44665963,159931,2,281,2013,847,22000,0.001800991,2
52,116,101,21,161,420,864959,20275,0,151,2005,291,10000,0.000300165,2
53,98,103,52,426,969,57469179,63855,0,248,1989,886,10000,0.000825454,2
54,129,130,92,177,244,63600000,82073,1,275,1965,189,10000,0.000825454,2
55,252,131,33,326,876,21483154,98741,1,236,2013,526,53000,0.000750413,3
56,127,91,30,497,922,26404753,34203,1,169,2012,786,19000,0.000900495,2
57,96,106,61,649,907,32645546,8427,5,88,2005,807,1000,0.001050578,2
58,160,126,44,9,627,5701643,37635,0,165,2007,12,10000,0.00060033,3
59,74,89,10,231,811,29302097,23408,8,105,2004,636,810,0.000750413,1
60,203,109,64,553,16000,33305037,33856,2,147,2015,638,34000,0.002026114,3
61,486,126,4000,4000,21000,318298180,696338,3,1055,2008,12000,10000,0.005102807,3
62,181,107,162,135,2000,15854988,36542,2,378,2002,258,10000,0.001951073,3
63,65,112,28,215,555,4734235,8217,0,123,2000,403,573,0.000525289,2
64,202,105,98,303,1000,12583510,60709,0,922,2003,340,10000,0.000675371,2
65,120,91,42,766,49000,43792641,32157,3,119,2007,838,913,0.002251238,2
66,173,160,219,215,1000,273420,32671,6,238,2006,876,10000,0.001650908,2
67,608,195,1000,3000,21000,408992272,557489,3,1187,2013,4000,95000,0.003827105,3
68,226,100,545,766,14000,39532308,198701,0,1138,2002,2000,10000,0.002176197,2
69,282,125,98,504,11000,460935665,911097,1,1470,1977,1000,33000,0.002101156,4
70,113,118,18000,286,18000,6144806,12821,1,248,2004,5000,10000,0.004502476,2
71,209,157,98,680,14000,28965197,133526,1,521,1999,826,10000,0.002551403,3
72,24,76,9,47,595,11144518,2724,0,53,1998,417,436,0.000375206,0
73,141,124,130,841,4000,78120196,103241,0,742,2002,973,5000,0.001500825,3
74,123,89,13,218,373,653621,5615,0,64,2005,334,592,0.00060033,2
75,185,130,98,568,11000,155370362,98403,0,683,2000,627,10000,0.00352694,2
76,52,164,767,162,358,26400000,12980,0,89,1984,223,845,0.000825454,3
77,275,112,11000,159,385,16684352,67893,0,163,2012,223,18000,0.002551403,2
78,186,189,98,693,15000,136801374,782610,0,1377,1999,745,30000,0.002101156,4
79,44,73,11,142,1000,11634458,2045,0,37,1999,436,339,0.000825454,2
80,51,93,98,622,966,900926,9517,2,46,2007,799,319,0.000525289,2
81,18,108,7,51,699,54215416,21409,1,63,1987,63,10000,0.000375206,2
82,208,122,98,567,883,2428883,21370,1,132,2014,596,10000,0.00120066,2
83,110,110,98,7,64,102055,24570,0,72,2008,45,10000,0.000300165,2
84,421,98,475,522,1000,223806889,718837,0,1043,2008,729,16000,0.001425784,4
85,42,108,232,353,10000,2961991,15885,4,78,1996,721,10000,0.001725949,2
86,161,89,7,399,919,20801344,49721,0,211,2007,557,10000,0.000525289,2
87,64,84,12,102,159,3100650,7277,4,181,2001,102,231,0.000300165,1
88,181,104,98,898,8000,30059386,128593,5,867,2001,1000,10000,0.003451899,2
89,388,146,14000,979,25000,79883359,116159,1,488,2011,19000,28000,0.003977187,3
90,82,140,98,552,720,35183792,68159,1,209,1991,576,10000,0.002251238,3
91,112,119,23,440,1000,25000000,39847,1,242,1976,659,10000,0.000375206,2
92,28,100,3,88,2000,4756,4191,4,32,2013,228,10000,0.000675371,2
93,157,102,79,27,925,101978840,77724,0,162,2013,38,26000,0.000525289,2
94,284,110,763,222,15000,83503161,138190,1,405,2011,1000,30000,0.00120066,2
95,153,92,35,179,19000,83348920,60230,0,118,2014,411,11000,0.001350743,2
96,439,130,3000,844,10000,3029870,128729,1,551,2011,4000,50000,0.002176197,3
