id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned,genre,plot
1,186,73,28,847,2000,422783777,644348,6458,0,656,9,40,1,1994,886,17000,0.001575867,4,-0.014418156,0.43992943
2,252,97,0,233,654,20433940,78883,1876,8,662,9,6,9,2005,529,0,0.000675371,2,0.89729035,0.5878843
3,232,117,234,221,12000,371897,36494,13607,2,118,9,40,9,2013,1000,11000,0.003001651,2,-1.8867829,0.894829
4,297,109,0,145,957,13782838,258078,1757,0,911,9,40,9,1982,163,23000,0.001725949,4,0.8604506,0.6728756
5,297,171,0,857,16000,313837577,1238746,22342,2,5060,9,28,7,2001,5000,21000,0.001876032,4,0.68884987,-1.5699598
6,186,116,0,471,11000,183405771,402645,13028,4,845,9,40,7,2001,1000,0,0.004427435,3,-0.83693206,-1.9546826
7,37,99,675,164,902,418953,17322,1582,0,93,9,13,9,1993,424,853,0.000825454,2,-0.33475342,2.9029717
8,82,170,165,244,453,72000000,66959,1164,1,258,9,40,0,1964,272,0,0.000300165,3,-1.9307665,-0.119379416
9,107,108,529,83,11000,8535575,24033,11519,3,152,9,40,7,2005,329,0,0.003827105,2,-1.8520906,-2.4990892
10,73,134,45,0,9,195888,5603,11,0,45,15,16,9,2005,2,607,0.000300165,3,1.5065718,3.1321466
11,125,95,163,650,14000,113006880,66308,16884,0,225,9,6,6,2005,799,0,0.002326279,2,1.2909286,-0.81089246
12,175,110,2000,636,1000,260031035,141414,4146,0,482,9,40,6,2000,722,0,0.001951073,2,1.7794527,-1.8766744
13,174,122,87,605,2000,22000,30511,4920,4,226,9,14,9,2011,683,0,0.001275702,2,1.0701123,0.99532336
14,29,107,8,268,926,12200000,7973,2383,0,65,9,40,6,1983,400,0,0.000525289,2,0.83387065,0.6002704
15,164,92,148,227,978,45802315,119974,2184,1,169,9,40,9,2009,593,0,0.000525289,2,0.2705321,-1.3756127
16,20,139,133,5,423,2474000,2427,446,1,27,9,13,7,1995,15,127,0.000825454,2,-0.90736514,0.90542257
17,20,193,160,860,8000,3275443,13998,10822,2,264,14,18,9,2006,1000,659,0.000450248,2,-1.8453741,1.1920394
18,261,133,0,301,26000,7097125,38983,28129,1,207,9,40,9,2015,326,11000,0.001800991,2,-0.32059094,-0.20812966
19,190,90,108,270,1000,37470017,86890,1982,0,985,9,14,9,2001,322,0,0.000825454,2,-0.76390594,-0.899937
20,75,98,61,83,649,32701088,10018,1400,1,108,9,40,6,2005,579,0,0.00060033,2,0.60714275,-0.9612182
21,144,121,541,680,920,184031112,190786,2880,4,539,9,40,7,1995,710,0,0.002101156,2,-0.25303328,-1.0000687
