id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned
1,0,186,73,28,847,23,2000,422783777,67,644348,6458,0,0,656,9,40,1,1994,886,17000,0.001575867,4
2,0,252,97,98,233,0,654,20433940,0,78883,1876,0,8,662,9,6,9,2005,529,10000,0.000675371,2
3,0,232,117,234,221,0,12000,371897,76,36494,13607,0,2,118,9,40,9,2013,1000,11000,0.003001651,2
4,35,297,109,98,145,0,957,13782838,0,258078,1757,0,0,911,9,40,9,1982,163,23000,0.001725949,4
5,57,297,171,98,857,0,16000,313837577,22,1238746,22342,0,2,5060,9,28,7,2001,5000,21000,0.001876032,4
6,77,186,116,98,471,0,11000,183405771,12,402645,13028,0,4,845,9,40,7,2001,1000,10000,0.004427435,3
7,0,37,99,675,164,0,902,418953,0,17322,1582,0,0,93,9,13,9,1993,424,853,0.000825454,2
8,0,82,170,165,244,0,453,72000000,0,66959,1164,0,1,258,9,40,0,1964,272,10000,0.000300165,3
9,0,107,108,529,83,0,11000,8535575,73,24033,11519,0,3,152,9,40,7,2005,329,10000,0.003827105,2
10,0,73,134,45,0,0,9,195888,0,5603,11,0,0,45,15,16,9,2005,2,607,0.000300165,3
11,1,125,95,163,650,0,14000,113006880,97,66308,16884,0,0,225,9,6,6,2005,799,10000,0.002326279,2
12,69,175,110,2000,636,0,1000,260031035,0,141414,4146,0,0,482,9,40,6,2000,722,10000,0.001951073,2
13,0,174,122,87,605,0,2000,22000,70,30511,4920,0,4,226,9,14,9,2011,683,10000,0.001275702,2
14,0,29,107,8,268,0,926,12200000,0,7973,2383,0,0,65,9,40,6,1983,400,10000,0.000525289,2
15,0,164,92,148,227,0,978,45802315,0,119974,2184,0,1,169,9,40,9,2009,593,10000,0.000525289,2
16,0,20,139,133,5,0,423,2474000,0,2427,446,0,1,27,9,13,7,1995,15,127,0.000825454,2
17,0,20,193,160,860,0,8000,3275443,0,13998,10822,0,2,264,14,18,9,2006,1000,659,0.000450248,2
18,49,261,133,98,301,0,26000,7097125,20,38983,28129,0,1,207,9,40,9,2015,326,11000,0.001800991,2
19,0,190,90,108,270,0,1000,37470017,0,86890,1982,0,0,985,9,14,9,2001,322,10000,0.000825454,2
20,0,75,98,61,83,0,649,32701088,0,10018,1400,0,1,108,9,40,6,2005,579,10000,0.00060033,2
21,34,144,121,541,680,0,920,184031112,0,190786,2880,0,4,539,9,40,7,1995,710,10000,0.002101156,2
22,0,358,98,118,558,0,14000,139852971,64,238671,16410,0,0,461,9,13,7,2012,935,63000,0.002401321,2
23,1,219,117,163,260,0,719,118823091,0,98693,1673,0,9,401,9,40,6,2007,339,10000,0.001500825,2
24,0,635,141,98,19000,0,26000,458991599,20,462669,92000,0,4,1117,9,40,7,2015,21000,118000,0.00292661,3
25,0,31,77,3,593,0,787,7382993,0,3851,2185,0,0,114,9,40,1,2006,690,346,0.00060033,0
26,0,60,107,71,304,0,967,80000000,0,51459,1962,0,0,113,9,40,6,1984,455,10000,0.000825454,2
27,7,62,117,101,743,19,13000,24944213,11,63459,16937,0,2,185,9,40,7,1996,852,3000,0.003601981,2
28,0,511,112,98,697,0,6000,137387272,0,300110,9049,0,0,807,9,40,9,2013,960,131000,0.001650908,3
29,0,65,111,13,106,0,818,29106737,0,15582,1450,0,0,132,9,40,9,1998,511,849,0.000900495,2
30,0,26,107,53,463,0,954,53481,0,5557,2512,0,5,34,9,40,9,2006,551,294,0.00060033,2
31,21,219,112,380,2000,0,15000,32357532,41,143368,31278,0,0,215,9,40,9,2010,11000,24000,0.003151733,2
